mean_D,mean_zp,mean_zc,mean_zm,std_D,std_zp,std_zc,std_zm,H,J,T,O,U,noPer,noSkill,costPer,costCas,costTrain,costTot
0.9754751686082158,5500.0,10976.03479628955,407.3265306122449,0.8075635577731,3027.6503540974913,6042.108297740445,175.65252011607816,7,7,233,1,2,4.0,15.0,2330000,675.0,6974,5432216
0.9936507936507937,5500.0,6582.510521263864,121.57142857142857,0.8117006529254766,3027.6503540974913,3623.552783737273,75.37710748850299,7,7,135,1,2,4.0,16.0,1350000,409.0,1859,2476870
0.5012755102040817,5500.0,9507.610553464789,431.40816326530614,0.5001046991484192,3027.6503540974913,5233.767356148858,186.5196502569442,7,7,336,1,1,3.0,11.0,2016000,263.0,5380,2868422
1.0299539170506913,5500.0,8274.564569694643,437.57142857142856,0.8176717463206087,3027.6503540974913,4554.9978817161,188.89172383493496,7,7,186,1,2,4.0,14.0,1860000,603.0,7111,4071154
0.9958762886597938,5500.0,9506.32897418382,305.3265306122449,0.8112973430969057,3027.6503540974913,5233.061869973616,138.01621096739294,7,7,485,1,2,4.0,16.0,4850000,1474.0,5714,10977790
0.5101594248202563,5500.0,6988.165254358491,235.28571428571428,0.49997492704281066,3027.6503540974913,3846.8583648818685,112.04258862890784,7,7,457,1,1,3.0,11.0,2742000,382.0,2765,3660850
0.999660671869698,5500.0,8411.90170743044,508.48979591836735,0.8191943081788164,3027.6503540974913,4630.599487842739,216.23531958349025,7,7,421,1,2,4.0,15.0,4210000,1297.0,8543,8979679
0.5182724252491694,5500.0,8052.811805061496,133.18367346938774,0.49978462200163715,3027.6503540974913,4432.927002377254,77.66371779167213,7,7,301,1,1,3.0,11.0,1806000,258.0,1560,2558668
1.027985681744224,5500.0,8426.637841345515,298.57142857142856,0.813219479396504,3027.6503540974913,4638.711462582014,134.30872396584422,7,7,439,1,2,4.0,16.0,4390000,1427.0,5578,9624690
0.4956140350877193,5500.0,8992.527393069115,192.26530612244898,0.500137472164485,3027.6503540974913,4950.223408337654,94.29249163953529,7,7,228,1,1,3.0,11.0,1368000,175.0,2070,1911257
0.5144009216589862,5500.0,6816.276350863931,123.55102040816327,0.49993658212141484,3027.6503540974913,3752.236637694462,77.29463684081671,7,7,248,1,1,3.0,11.0,1488000,209.0,1383,1988830
0.49727126805778493,5500.0,10057.871365429164,240.9387755102041,0.5000728289215396,3027.6503540974913,5536.675963819751,111.62015352735091,7,7,445,1,1,3.0,11.0,2670000,341.0,2956,3894530
0.9770817417876242,5500.0,10629.649280542322,348.2448979591837,0.8150815953460959,3027.6503540974913,5851.429346939294,151.68766300804933,7,7,374,1,2,5.0,16.0,5610000,800.0,6439,8892304
0.5003779289493575,5500.0,5677.96925961404,215.42857142857142,0.5001889287805946,3027.6503540974913,3125.6192071682044,102.59284412992294,7,7,189,1,1,2.0,10.0,567000,293.0,2242,1292925
0.9928571428571429,5500.0,6241.947135271063,512.5918367346939,0.8090889144780976,3027.6503540974913,3436.0788098838652,217.87304391619014,7,7,20,1,2,4.0,10.0,200000,59.0,5768,372598
0.45714285714285713,5500.0,5928.559343118116,414.81632653061223,0.4990518403686336,3027.6503540974913,3263.564508087192,180.7515183741421,7,7,40,1,1,2.0,8.0,120000,53.0,3837,259655
0.5009523809523809,5500.0,10177.516520551115,168.3469387755102,0.5001578984661502,3027.6503540974913,5602.538454050846,88.54319826606488,7,7,225,1,1,3.0,11.0,1350000,179.0,1989,1986696
0.4971072541165999,5500.0,9001.104098489068,487.18367346938777,0.500102926695391,3027.6503540974913,4954.94472928342,207.2538372653797,7,7,321,1,1,3.0,11.0,1926000,243.0,6002,2702824
0.48144902132632195,5500.0,8479.03704647523,414.81632653061223,0.49972874373570864,3027.6503540974913,4667.556275666634,179.55079057068457,7,7,489,1,1,3.0,12.0,2934000,344.0,5499,3935400
0.5284121083377589,5500.0,10528.517493985364,272.8979591836735,0.4993247045520035,3027.6503540974913,5795.75813068844,128.29640890303583,7,7,269,1,1,3.0,11.0,1614000,253.0,3336,2599360
0.5004568991775815,5500.0,8138.498513002856,134.57142857142858,0.5000759584750493,3027.6503540974913,4480.095982675455,77.98397271234647,7,7,469,1,1,3.0,12.0,2814000,381.0,1882,3906441
0.48627450980392156,5500.0,7066.042207933327,261.48979591836735,0.499951637509834,3027.6503540974913,3889.7282168940283,121.84794527897253,7,7,255,1,1,2.0,10.0,765000,377.0,2837,1965210
1.004201680672269,5500.0,8165.4346345029135,179.6530612244898,0.8175338523026938,3027.6503540974913,4494.923829547758,94.9215796988072,7,7,306,1,2,4.0,17.0,3060000,954.0,3457,6386047
0.9858557284299858,5500.0,8191.5717433936825,527.0204081632653,0.8094090679790291,3027.6503540974913,4509.311834454707,223.2783660400098,7,7,202,1,2,4.0,15.0,2020000,600.0,9048,4097792
0.5659340659340659,5500.0,10965.838106563951,476.0612244897959,0.4963158552248858,3027.6503540974913,6036.495204784385,203.6237756422435,7,7,52,1,1,3.0,9.0,312000,56.0,4907,528249
0.4812646370023419,5500.0,10690.252146283603,351.0612244897959,0.499941654499715,3027.6503540974913,5884.790126561276,153.84724677463697,7,7,122,1,1,3.0,9.0,732000,97.0,3867,1076011
0.4967032967032967,5500.0,10183.20421261375,173.6122448979592,0.5000990555904856,3027.6503540974913,5605.669425484925,87.93648662683829,7,7,325,1,1,3.0,11.0,1950000,244.0,1808,2851633
